0.05000000	0.14833333
0.14833333	0.24666667
0.24666667	0.34500000
0.34500000	0.44333333
0.44333333	0.54166667
0.54166667	0.64000000
0.64000000	0.73833333
0.73833333	0.83666667
0.83666667	0.93500000
0.93500000	1.03333333
1.03333333	1.13166667
1.13166667	1.23000000
1.23000000	1.32833333
1.32833333	1.42666667
1.42666667	1.52500000
1.52500000	1.62333333
1.62333333	1.72166667
1.72166667	1.82000000
1.82000000	1.91833333
1.91833333	2.01666667
2.01666667	2.11500000
2.11500000	2.21333333
2.21333333	2.31166667
2.31166667	2.41000000
2.41000000	2.50833333
2.50833333	2.60666667
2.60666667	2.70500000
2.70500000	2.80333333
2.80333333	2.90166667
2.90166667	3.00000000
